Symbol,Sector,Latest_Price,Previous_Price,Daily_Change,Daily_Change_Pct,YTD_Return_Pct,Current_Volatility,Latest_Volume,Date
AAPL,Technology,238.47000122070312,229.72000122070312,8.75,3.808984830882641,8.480800123443604,0.01741438483546847,66302400,2025-09-03 00:00:00-04:00
MSFT,Technology,505.3500061035156,505.1199951171875,0.230010986328125,0.045535909991993605,24.515510309690367,0.011536399918292703,16215400,2025-09-03 00:00:00-04:00
GOOGL,Technology,230.66000366210935,211.3500061035156,19.30999755859375,9.136502011329986,48.14787881900242,0.020444243225629606,102578100,2025-09-03 00:00:00-04:00
META,Technology,737.0499877929688,735.1099853515625,1.94000244140625,0.26390641945619253,44.239527523974076,0.02587385043453566,7688600,2025-09-03 00:00:00-04:00
NVDA,Technology,170.6199951171875,170.77999877929688,-0.160003662109375,-0.0936899304678832,60.69475941239194,0.01601941662519698,162364400,2025-09-03 00:00:00-04:00
JPM,Finance,299.510009765625,299.70001220703125,-0.19000244140625,-0.06339754209786193,39.623283578692195,0.009924374586816635,6314500,2025-09-03 00:00:00-04:00
BAC,Finance,50.060001373291016,50.41999816894531,-0.3599967956542969,-0.7139960506306129,26.634227748495327,0.01304938885320179,34137200,2025-09-03 00:00:00-04:00
WFC,Finance,80.51000213623047,81.77999877929688,-1.2699966430664062,-1.5529428491357644,41.604903713667525,0.014356272838693045,11173300,2025-09-03 00:00:00-04:00
GS,Finance,730.5599975585938,730.8499755859375,-0.28997802734375,-0.03967681973462045,51.937635664326784,0.01412717823157008,1485600,2025-09-03 00:00:00-04:00
MS,Finance,148.52999877929688,148.85000610351562,-0.32000732421875,-0.2149864367464019,52.735875316602474,0.011551024295830402,4338900,2025-09-03 00:00:00-04:00
JNJ,Healthcare,178.0,178.05999755859375,-0.05999755859375,-0.0336951361430895,9.795630089105943,0.008257550111848371,6832100,2025-09-03 00:00:00-04:00
PFE,Healthcare,24.790000915527344,24.979999542236328,-0.18999862670898438,-0.7606030031655269,-6.553479117987242,0.01643746752559615,30938600,2025-09-03 00:00:00-04:00
UNH,Healthcare,307.8800048828125,308.79998779296875,-0.91998291015625,-0.2979219386410862,-48.07946858998402,0.03572262561985488,9638700,2025-09-03 00:00:00-04:00
MRK,Healthcare,84.18000030517578,85.4800033569336,-1.3000030517578125,-1.5208270948814422,-24.851320440131943,0.015986050552404693,12712700,2025-09-03 00:00:00-04:00
ABBV,Healthcare,211.8600006103516,211.9199981689453,-0.05999755859372158,-0.028311418984578684,11.383618338672258,0.010132043293907074,3973500,2025-09-03 00:00:00-04:00
XOM,Energy,111.91000366210938,114.69000244140624,-2.779998779296861,-2.4239242480765744,1.6625980653963832,0.010320284137798598,14918000,2025-09-03 00:00:00-04:00
CVX,Energy,158.05999755859375,161.8300018310547,-3.7700042724609375,-2.32960775493082,16.30104426652655,0.011213461315412229,8979200,2025-09-03 00:00:00-04:00
COP,Energy,94.6500015258789,98.98999786376952,-4.339996337890611,-4.384277635669145,-10.001824488553783,0.014207587261483372,9780000,2025-09-03 00:00:00-04:00
SLB,Energy,35.0,35.6150016784668,-0.6150016784667969,-1.7268051368326436,-12.748861983851146,0.018319819103534064,16566500,2025-09-03 00:00:00-04:00
EOG,Energy,120.58000183105467,126.0999984741211,-5.5199966430664205,-4.377475582760822,1.362350671721892,0.014023650013367433,2658300,2025-09-03 00:00:00-04:00
AMZN,Consumer,225.9900054931641,225.33999633789065,0.6500091552734375,0.2884570719078064,30.38135527941509,0.020906109265863587,28837400,2025-09-03 00:00:00-04:00
TSLA,Consumer,334.0899963378906,329.3599853515625,4.730010986328125,1.436121932443997,52.2674402997541,0.027076342881054535,88548100,2025-09-03 00:00:00-04:00
HD,Consumer,407.7099914550781,406.30999755859375,1.399993896484375,0.3445629949783558,13.807336878326412,0.014079475516730328,3025100,2025-09-03 00:00:00-04:00
MCD,Consumer,316.3900146484375,315.760009765625,0.6300048828125,0.19952016193568192,,0.0094525771424238,3219500,2025-09-03 00:00:00-04:00
NKE,Consumer,74.73999786376953,74.29000091552734,0.4499969482421875,0.6057301691971493,,0.01635279799714246,8297900,2025-09-03 00:00:00-04:00
